2014-05-20 11:34:50,914 | WARN  | Transport Connection to: tcp://127.0.0.1:40675 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:40675
2014-05-20 11:35:05,593 | WARN  | Transport Connection to: tcp://127.0.0.1:40702 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | Async Exception Handler
2014-05-20 11:35:09,812 | WARN  | Transport Connection to: tcp://127.0.0.1:40779 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:40779
2014-05-20 11:37:08,847 | WARN  | Transport Connection to: tcp://127.0.0.1:40887 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:40887
2014-05-20 11:39:34,670 | WARN  | Transport Connection to: tcp://127.0.0.1:40995 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:40995
2014-05-20 11:39:57,220 | WARN  | Transport Connection to: tcp://127.0.0.1:41099 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:41099
2014-05-20 15:31:33,761 | INFO  | PListStore:[/root/workspace/HTCaaS_ext/activeMQ/bin/linux-x86-64/../../data/localhost/tmp_storage ] initialized | org.apache.activemq.store.kahadb.plist.PListStore | BrokerService.worker.1
2014-05-20 15:33:40,388 | WARN  | Transport Connection to: tcp://127.0.0.1:41341 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:41341
2014-05-20 15:33:45,860 | WARN  | Transport Connection to: tcp://127.0.0.1:41718 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:41718
2014-05-20 15:33:46,896 | WARN  | Transport Connection to: tcp://127.0.0.1:41807 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:41807
